,Employee_Name,EmpID,GenderID,PerfScoreID,Salary,Termd,PositionID,Position,State,DOB,Sex,MaritalDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,Absences,Status
63,"Davis, Daniel",10143,1,3,56294,0,20,Production Technician II,MA,1979-09-14,M ,Single,2011-11-07,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,3.96,4,0,2/27/2019,6,Active
64,"Dee, Randy",10311,1,1,56991,0,19,Production Technician I,MA,1988-04-15,M ,Married,2018-07-09,,N/A-StillEmployed,Active,Production,Indeed,Fully Meets,4.3,4,3,1/31/2019,2,Active
65,"DeGweck,  James",10070,1,3,55722,1,19,Production Technician I,MA,1977-10-31,M ,Married,2011-05-16,2016-06-08,unhappy,Voluntarily Terminated,Production,Indeed,Fully Meets,5.0,4,0,4/2/2016,14,Baja
66,"Del Bosque, Keyla",10155,0,3,101199,0,24,Software Engineer,MA,1979-07-05,F,Single,2012-01-09,,N/A-StillEmployed,Active,Software Engineering,CareerBuilder,Fully Meets,3.79,5,5,1/25/2019,8,Active
67,"Delarge, Alex",10306,1,1,61568,0,3,Area Sales Manager,AL,1975-11-02,M ,Single,2014-09-29,,N/A-StillEmployed,Active,Sales,Indeed,PIP,1.93,3,0,1/30/2019,5,Active
68,"Demita, Carla",10100,0,3,58275,1,20,Production Technician II,MA,2051-02-25,F,Separated,2011-04-04,2015-11-04,more money,Voluntarily Terminated,Production,Google Search,Fully Meets,4.62,5,0,5/6/2015,1,Baja
69,"Desimone, Carl ",10310,1,1,53189,0,19,Production Technician I,MA,2067-04-19,M ,Married,2014-07-07,,N/A-StillEmployed,Active,Production,Indeed,PIP,1.12,2,0,1/31/2019,9,Active
70,"DeVito, Tommy",10197,1,3,96820,0,4,BI Developer,MA,1983-09-04,M ,Single,2017-02-15,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,3.01,5,7,1/23/2019,15,Active
71,"Dickinson, Geoff ",10276,1,3,51259,0,19,Production Technician I,MA,1982-11-15,M ,Single,2014-05-12,,N/A-StillEmployed,Active,Production,Indeed,Fully Meets,4.3,4,0,2/19/2019,1,Active
72,"Dietrich, Jenna  ",10304,0,1,59231,0,3,Area Sales Manager,WA,1987-05-14,F,Single,2012-02-20,,N/A-StillEmployed,Active,Sales,Website,PIP,2.3,1,0,1/29/2019,17,Active
73,"DiNocco, Lily ",10284,0,2,61584,0,19,Production Technician I,MA,1978-12-02,F,Married,2013-01-07,,N/A-StillEmployed,Active,Production,Indeed,Needs Improvement,3.88,4,0,1/18/2019,6,Active
74,"Dobrin, Denisa  S",10207,0,3,46335,0,19,Production Technician I,MA,1986-10-07,F,Single,2012-04-02,,N/A-StillEmployed,Active,Production,CareerBuilder,Fully Meets,3.4,5,0,2/19/2019,15,Active
75,"Dolan, Linda",10133,0,3,70621,0,14,IT Support,MA,1988-07-18,F,Married,2015-01-05,,N/A-StillEmployed,Active,IT/IS,Employee Referral,Fully Meets,4.11,4,6,2/25/2019,16,Active
76,"Dougall, Eric",10028,1,4,138888,0,13,IT Manager - Support,MA,2070-07-09,M ,Single,2014-01-05,,N/A-StillEmployed,Active,IT/IS,Indeed,Exceeds,4.3,5,5,1/4/2019,4,Active
77,"Driver, Elle",10006,0,4,74241,0,3,Area Sales Manager,CA,1988-11-08,F,Single,2011-01-10,,N/A-StillEmployed,Active,Sales,Indeed,Exceeds,4.77,5,0,1/27/2019,14,Active
78,"Dunn, Amy  ",10105,0,3,75188,0,18,Production Manager,MA,1973-11-28,F,Single,2014-09-18,,N/A-StillEmployed,Active,Production,Google Search,Fully Meets,4.52,4,0,1/15/2019,4,Active
79,"Dunne, Amy",10211,0,3,62514,0,19,Production Technician I,MA,1973-09-23,F,Married,2010-04-26,,N/A-StillEmployed,Active,Production,Google Search,Fully Meets,2.9,3,0,1/21/2019,6,Active
80,"Eaton, Marianne",10064,0,3,60070,1,19,Production Technician I,MA,1991-09-05,F,Married,2011-04-04,2017-06-06,military,Voluntarily Terminated,Production,Google Search,Fully Meets,5.0,3,0,4/9/2017,7,Baja
81,"Engdahl, Jean",10247,1,3,48888,0,19,Production Technician I,MA,1974-05-31,M ,Single,2014-11-10,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.7,5,0,2/13/2019,8,Active
82,"England, Rex",10235,1,3,54285,0,19,Production Technician I,MA,1978-08-25,M ,Married,2014-03-31,,N/A-StillEmployed,Active,Production,Employee Referral,Fully Meets,4.2,3,0,1/11/2019,3,Active
83,"Erilus, Angela",10299,0,1,56847,0,20,Production Technician II,MA,1989-08-25,F,Separated,2014-07-07,,N/A-StillEmployed,Active,Production,Indeed,PIP,3.0,1,0,2/25/2019,5,Active
84,"Estremera, Miguel",10280,1,2,60340,1,19,Production Technician I,MA,1983-09-02,M ,Single,2012-04-02,2018-09-27,attendance,Terminated for Cause,Production,Google Search,Needs Improvement,5.0,4,0,4/12/2018,16,Baja
85,"Evensen, April",10296,0,2,59124,1,19,Production Technician I,MA,1989-05-06,F,Single,2014-02-17,2018-02-25,"no-call, no-show",Terminated for Cause,Production,Google Search,Needs Improvement,2.3,3,0,1/15/2017,19,Baja
86,"Exantus, Susan",10290,0,2,99280,1,24,Software Engineer,MA,1987-05-15,F,Married,2011-05-02,2013-06-05,attendance,Terminated for Cause,Software Engineering,Indeed,Needs Improvement,2.1,5,4,8/10/2012,19,Baja
87,"Faller, Megan ",10263,0,3,71776,0,20,Production Technician II,MA,1978-09-22,F,Married,2014-07-07,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.4,5,0,2/22/2019,17,Active
88,"Fancett, Nicole",10136,0,3,65902,0,20,Production Technician II,MA,1987-09-27,F,Single,2014-02-17,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.0,4,0,1/7/2019,7,Active
89,"Ferguson, Susan",10189,0,3,57748,1,19,Production Technician I,MA,2055-04-14,F,Married,2011-11-07,2016-05-17,military,Voluntarily Terminated,Production,Google Search,Fully Meets,3.13,3,0,2/4/2016,16,Baja
90,"Fernandes, Nilson  ",10308,1,1,64057,0,19,Production Technician I,MA,1989-10-18,M ,Married,2015-05-11,,N/A-StillEmployed,Active,Production,Indeed,PIP,1.56,5,0,1/3/2019,15,Active
91,"Fett, Boba",10309,1,1,53366,0,15,Network Engineer,MA,1987-06-18,M ,Single,2015-03-30,,N/A-StillEmployed,Active,IT/IS,LinkedIn,PIP,1.2,3,6,2/4/2019,2,Active
92,"Fidelia,  Libby",10049,0,3,58530,0,19,Production Technician I,MA,1981-03-16,F,Married,2012-01-09,,N/A-StillEmployed,Active,Production,Google Search,Fully Meets,5.0,5,0,1/29/2019,19,Active
93,"Fitzpatrick, Michael  J",10093,1,3,72609,1,20,Production Technician II,MA,1981-10-01,M ,Single,2011-05-16,2013-06-24,hours,Voluntarily Terminated,Production,Google Search,Fully Meets,4.76,5,0,4/5/2013,20,Baja
94,"Foreman, Tanya",10163,0,3,55965,1,20,Production Technician II,MA,1983-11-08,F,Married,2011-04-04,2013-01-09,career change,Voluntarily Terminated,Production,Google Search,Fully Meets,3.66,3,0,1/7/2012,6,Baja
95,"Forrest, Alex",10305,1,3,70187,1,3,Area Sales Manager,MA,1975-07-07,M ,Married,2014-09-29,2018-08-19,Fatal attraction,Terminated for Cause,Sales,Employee Referral,PIP,2.0,5,0,1/28/2019,7,Baja
96,"Foss, Jason",10015,1,4,178000,0,12,IT Director,MA,1980-07-05,M ,Single,2011-04-15,,N/A-StillEmployed,Active,IT/IS,Indeed,Exceeds,5.0,5,5,1/7/2019,15,Active
97,"Foster-Baker, Amy",10080,0,3,99351,0,26,Sr. Accountant,MA,1979-04-16,F,Married,2009-01-05,,N/A-StillEmployed,Active,Admin Offices,Other,Fully Meets,5.0,3,2,2/8/2019,3,Active
98,"Fraval, Maruk ",10258,1,3,67251,0,3,Area Sales Manager,CT,2063-08-28,M ,Single,2011-09-06,,N/A-StillEmployed,Active,Sales,CareerBuilder,Fully Meets,4.3,3,0,1/27/2019,7,Active
99,"Galia, Lisa",10273,0,3,65707,0,14,IT Support,CT,2068-07-06,F,Single,2010-05-01,,N/A-StillEmployed,Active,IT/IS,LinkedIn,Fully Meets,4.7,4,5,2/1/2019,1,Active
100,"Garcia, Raul",10111,1,3,52249,0,19,Production Technician I,MA,1985-09-15,M ,Single,2015-03-30,,N/A-StillEmployed,Active,Production,Employee Referral,Fully Meets,4.5,3,0,2/18/2019,5,Active
101,"Gaul, Barbara",10257,0,3,53171,0,19,Production Technician I,MA,1983-12-02,F,Single,2011-05-16,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.2,4,0,2/26/2019,12,Active
102,"Gentry, Mildred",10159,0,3,51337,0,19,Production Technician I,MA,1990-10-01,F,Married,2015-03-30,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,3.73,3,0,1/16/2019,19,Active
103,"Gerke, Melisa",10122,0,3,51505,1,19,Production Technician I,MA,2070-05-15,F,Divorced,2011-11-07,2016-11-15,hours,Voluntarily Terminated,Production,Diversity Job Fair,Fully Meets,4.24,4,0,4/29/2016,2,Baja
104,"Gill, Whitney  ",10142,0,3,59370,1,3,Area Sales Manager,OH,1971-07-10,F,Widowed,2014-07-07,2015-09-05,attendance,Terminated for Cause,Sales,CareerBuilder,Fully Meets,3.97,4,0,1/15/2014,7,Baja
105,"Gilles, Alex",10283,1,2,54933,1,19,Production Technician I,MA,1974-08-09,M ,Married,2012-04-02,2015-06-25,military,Voluntarily Terminated,Production,Diversity Job Fair,Needs Improvement,3.97,4,0,1/20/2015,15,Baja
106,"Girifalco, Evelyn",10018,0,4,57815,0,19,Production Technician I,MA,1980-05-08,F,Single,2014-09-29,,N/A-StillEmployed,Active,Production,Indeed,Exceeds,3.9,4,0,2/7/2019,3,Active
107,"Givens, Myriam",10255,0,3,61555,0,3,Area Sales Manager,IN,1989-09-22,F,Single,2015-02-16,,N/A-StillEmployed,Active,Sales,Indeed,Fully Meets,4.5,5,0,1/25/2019,20,Active
108,"Goble, Taisha",10246,0,3,114800,1,8,Database Administrator,MA,1971-10-23,F,Single,2015-02-16,2015-03-15,"no-call, no-show",Terminated for Cause,IT/IS,Indeed,Fully Meets,4.6,4,4,1/20/2015,10,Baja
109,"Goeth, Amon",10228,1,3,74679,0,14,IT Support,MA,1989-11-24,M ,Married,2015-03-30,,N/A-StillEmployed,Active,IT/IS,LinkedIn,Fully Meets,4.3,5,7,1/10/2019,20,Active
110,"Gold, Shenice  ",10243,0,3,53018,0,19,Production Technician I,MA,1992-06-18,F,Single,2013-11-11,,N/A-StillEmployed,Active,Production,Indeed,Fully Meets,4.3,5,0,2/18/2019,7,Active
111,"Gonzalez, Cayo",10031,1,4,59892,0,19,Production Technician I,MA,2069-09-29,M ,Divorced,2011-07-11,,N/A-StillEmployed,Active,Production,Diversity Job Fair,Exceeds,4.5,4,0,2/18/2019,1,Active
112,"Gonzalez, Juan",10300,1,1,68898,1,20,Production Technician II,MA,2064-10-12,M ,Married,2010-04-26,2011-05-30,career change,Voluntarily Terminated,Production,Diversity Job Fair,PIP,3.0,3,0,3/6/2011,10,Baja
113,"Gonzalez, Maria",10101,0,3,61242,0,14,IT Support,MA,1981-04-16,F,Separated,2015-01-05,,N/A-StillEmployed,Active,IT/IS,Employee Referral,Fully Meets,4.61,4,5,1/28/2019,11,Active
114,"Good, Susan",10237,0,3,66825,0,20,Production Technician II,MA,1986-05-25,F,Married,2014-05-12,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.6,3,0,2/7/2019,20,Active
115,"Gordon, David",10051,1,3,48285,0,19,Production Technician I,MA,1979-05-21,M ,Married,2012-07-02,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,5.0,3,0,1/14/2019,2,Active
116,"Gosciminski, Phylicia  ",10218,0,3,66149,0,20,Production Technician II,MA,1983-12-08,F,Separated,2013-09-30,,N/A-StillEmployed,Active,Production,Google Search,Fully Meets,4.4,5,0,2/21/2019,1,Active
117,"Goyal, Roxana",10256,0,3,49256,0,19,Production Technician I,MA,1974-10-09,F,Married,2013-08-19,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.1,5,0,2/15/2019,3,Active
118,"Gray, Elijiah  ",10098,1,3,62957,0,18,Production Manager,MA,1981-07-11,M ,Divorced,2015-06-02,,N/A-StillEmployed,Active,Production,Employee Referral,Fully Meets,4.63,3,0,1/4/2019,2,Active
119,"Gross, Paula",10059,0,3,63813,1,19,Production Technician I,MA,1983-05-21,F,Divorced,2011-02-21,2014-01-11,more money,Voluntarily Terminated,Production,CareerBuilder,Fully Meets,5.0,5,0,6/3/2013,17,Baja
120,"Gruber, Hans",10234,1,3,99020,0,4,BI Developer,MA,1989-06-30,M ,Married,2017-04-20,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,4.2,5,5,1/28/2019,8,Active
121,"Guilianno, Mike",10109,1,3,71707,1,3,Area Sales Manager,TN,2069-02-09,M ,Single,2012-03-07,2014-10-31,relocation out of area,Voluntarily Terminated,Sales,LinkedIn,Fully Meets,4.5,5,0,2/1/2013,20,Baja
122,"Handschiegl, Joanne",10125,0,3,54828,0,19,Production Technician I,MA,1977-03-23,F,Married,2011-11-28,,N/A-StillEmployed,Active,Production,Google Search,Fully Meets,4.2,4,0,2/22/2019,13,Active
